id,country_id,name,code
1,Ecuador,AZUAY,1
2,Ecuador,BOLÍVAR,2
3,Ecuador,CAÑAR,3
4,Ecuador,CARCHI,4
5,Ecuador,COTOPAXI,5
6,Ecuador,CHIMBORAZO,6
7,Ecuador,EL ORO,7
8,Ecuador,ESMERALDAS,8
9,Ecuador,GUAYAS,9
10,Ecuador,IMBABURA,10
11,Ecuador,LOJA,11
12,Ecuador,LOS RÍOS,12
13,Ecuador,MANABÍ,13
14,Ecuador,MORONA SANTIAGO,14
15,Ecuador,NAPO,15
16,Ecuador,PASTAZA,16
17,Ecuador,PICHINCHA,17
18,Ecuador,TUNGURAHUA,18
19,Ecuador,ZAMORA CHINCHIPE,19
20,Ecuador,GALÁPAGOS,20
21,Ecuador,SUCUMBÍOS,21
22,Ecuador,ORELLANA,22
23,Ecuador,SANTO DOMINGO DE LOS TSÁCHILAS,23
24,Ecuador,SANTA ELENA,24
90,Ecuador,ZONAS NO DELIMITADAS,90
