id,country_id,state_id,canton_id,name,code
10101,Ecuador,AZUAY,CUENCA,BELLAVISTA,10101
10102,Ecuador,AZUAY,CUENCA,CAÑARIBAMBA,10102
10103,Ecuador,AZUAY,CUENCA,EL BATÁN,10103
10104,Ecuador,AZUAY,CUENCA,EL SAGRARIO,10104
10105,Ecuador,AZUAY,CUENCA,EL VECINO,10105
10106,Ecuador,AZUAY,CUENCA,GIL RAMÍREZ DÁVALOS,10106
10107,Ecuador,AZUAY,CUENCA,HUAYNACÁPAC,10107
10108,Ecuador,AZUAY,CUENCA,MACHÁNGARA,10108
10109,Ecuador,AZUAY,CUENCA,MONAY,10109
10110,Ecuador,AZUAY,CUENCA,SAN BLAS,10110
10111,Ecuador,AZUAY,CUENCA,SAN SEBASTIÁN,10111
10112,Ecuador,AZUAY,CUENCA,SUCRE,10112
10113,Ecuador,AZUAY,CUENCA,TOTORACOCHA,10113
10114,Ecuador,AZUAY,CUENCA,YANUNCAY,10114
10115,Ecuador,AZUAY,CUENCA,HERMANO MIGUEL,10115
10150,Ecuador,AZUAY,CUENCA,CUENCA,10150
10151,Ecuador,AZUAY,CUENCA,BAÑOS,10151
10152,Ecuador,AZUAY,CUENCA,CUMBE,10152
10153,Ecuador,AZUAY,CUENCA,CHAUCHA,10153
10154,Ecuador,AZUAY,CUENCA,CHECA (JIDCAY),10154
10155,Ecuador,AZUAY,CUENCA,CHIQUINTAD,10155
10156,Ecuador,AZUAY,CUENCA,LLACAO,10156
10157,Ecuador,AZUAY,CUENCA,MOLLETURO,10157
10158,Ecuador,AZUAY,CUENCA,NULTI,10158
10159,Ecuador,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS (SANTA ROSA),10159
10160,Ecuador,AZUAY,CUENCA,PACCHA,10160
10161,Ecuador,AZUAY,CUENCA,QUINGEO,10161
10162,Ecuador,AZUAY,CUENCA,RICAURTE,10162
10163,Ecuador,AZUAY,CUENCA,SAN JOAQUÍN,10163
10164,Ecuador,AZUAY,CUENCA,SANTA ANA,10164
10165,Ecuador,AZUAY,CUENCA,SAYAUSÍ,10165
10166,Ecuador,AZUAY,CUENCA,SIDCAY,10166
10167,Ecuador,AZUAY,CUENCA,SININCAY,10167
10168,Ecuador,AZUAY,CUENCA,TARQUI,10168
