id,name,bic,desc
34,AMAZONAS,01600063,AMAZO
35,AUSTRO,03600186,AUSTR
76,BANCO CAPITAL S.A.,76,CAPIT
1,BANCO CENTRAL DEL ECUADOR,01820030,CENTR
79220001,BCE2,79220001,BCE2
43,BANCO CENTRO MUNDO,01600873,MUNDO
46,BANCO COFIEC,01600832,COFIE
44,BANCO COMERCIAL MANABI,75600064,MANAB
26,BANCO DEL LITORAL S.A.,02600856,LITOR
600,BANCO DE LOS ANDES,01600204,LITOR
42,BANCO GENERAL RUMIÑAHUI,01600782,RUMIN
49,BANCO MM JARAMILLO ARTEAGA,01600386,MMJAR
59,BANCO PROCREDIT,01600491,PROCR
63,BANCO PROMERICA,1600386,PROAM
45,BANCO SOLIDARIO,01600907,SOLID
47,BANCO SUDAMERICANO,01600824,SUDAM
48,BANCO UNIVERSAL / UNIBANCO SA,01600170,UNIBA
37,BANCO BOLIVARIANO,02600344,BOLIV
50,CAJA RECAUDADORA,50,CAJAR
24,CITIBANK,01600147,CITIB
53,COOP.29 DE OCTUBRE,01700427,29OCT
61,COOP. 9 DE OCTUBRE,61,9OCTU
73,COOP.A.CRED. PEQUE.EMPRESA CACPE BIBLIAN LTDA.,19700001,CACPE
66,COOP.AHORRO Y CREDITO ALFONSO JARAMILLO C.C.C.,66,AJCCC
54,COOP. AHORRO Y CREDITO DESARROLLO PUEBLOS,54,PUEBL
64,COOP.AHORRO Y CREDITO  RIOBAMBA,64,RIOBA
60,COOP. AH Y CRE. CAMARA DE COMERCIO QUITO LTDA.,60,CCQUI
71,COOP.AH.Y CREDIT.SEÑOR DE GIRON,71,GIRON
55700010,COOP. CACPECO,55700010,CACP
1700419,COOP. CACPE PASTAZA,1700419,PAST
68,COOP.DE AHORRO Y CREDITO COOPERA LTDA.,68,COOPE
75,COOP. DE AHORRO Y CREDITO DESHARROLLO PUEBLOS,75,DESAR
62,COOP.DE AHORRO Y CREDITO ERCO LTDA.,62,ERCO
57,COOP. DE AHORRO Y CREDITO JARDIN AZUAYO,3700114,JARD
1700511,COOP. DE AHORRO Y CREDITO POLICIA NACIONAL LTDA,1700511,COOPPO
58,COOP.DE AHORRO Y CREDITO OSCUS,58,OSCUS
70,COOP. DE AHORRO Y CREDITO PROVIDA,70,PROVI
67,COOP. DE AHO. Y CRED. PEQUEÑA EMPRESA GUALAQUIZ,67,GUALQ
72,COOP.DE A. Y C. COOPAC AUSTRO LTDA.,72,COPAC
15700017,COOP. EL SAGRARIO,15700017,CSGR
15700001,COOP. OSCUS,15700001,COSC
52,COOPERATIVA JUV. ECUATORIANA PROGRESISTA,03700113,JEP
79700027,COOP. RIOBAMBA,79700027,CRIO
79700029,COOP. ACCION RURAL,79700029,CACC
79700030,COOP. ACCION Y DESARROLLO,79700030,CACD
79700033,COOP. 4 DE OCTUBRE,79700033,C4OC
550,COOP. SANTA ROSA LTDA,68700055,STAROSA
74,COOPMEGO LTDA.,74,MEGO
551,COOP. NACIONAL,551,COOPNAC
29,BANCO DE LOJA,59600049,LOJA
25,BANCO MACHALA,68600014,MACHA
17,BANCO DE GUAYAQUIL,02600021,GUAYA
32,BANCO INTERNACIONAL,01600212,INTER
65,LA MERCED COOP. AHORRO Y CREDITO LTDA.,65,MERCE
20,LLOYDS BANK,01600105,LLOYD
51,MUTUALISTA AZUAY,03700028,MU_AZ
56,MUTUALISTA BENALCAZAR,01700020,BENAL
55,MUTUALISTA PICHINCHA,01700012,PICHI
2,BANCO DE FOMENTO,01410034,FOMEN
30,BANCO DEL PACIFICO S.A.,02600187,PACIF
10,BANCO PICHINCHA,01600022,PICHI
36,BANCO PRODUBANCO,01600303,PRODU
19,TERRITORIAL,02600013,TERRI
555,DELBANK,02600831,DELBANK
601,BANCO DE LA VIVIENDA,01500016,VIVIE
01700426,COOP. PROGRESO,01700426,CPRO
15703040,COOP. CHIBULEO,15703040,CHIB
79700035,COOP. AHO. Y CREDITO FERNANDO DAQUILEMA,79700035,DAQF
79700031,COOP. EDUCADORES DE CHIMBORAZO,79700031,EDUC
79700001,COOP. NUEVA ESPERANZA,79700001,CNES
79700032,COOP. MINGA LTDA,79700032,MING
15700005,COOP. KULLKI WASI,15700005,KUW
