id,name,grado,escala,rmu,description
SP1,SERVIDOR PÚBLICO DE SERVICIOS 1,1,grados_20,527.0,
SP2,SERVIDOR PÚBLICO DE SERVICIOS 2,2,grados_20,553.0,
SP3,SERVIDOR PÚBLICO DE APOYO 1,3,grados_20,585.0,
SP4,SERVIDOR PÚBLICO DE APOYO 2,4,grados_20,622.0,
SP5,SERVIDOR PÚBLICO DE APOYO 3,5,grados_20,675.0,
SP6,SERVIDOR PÚBLICO DE APOYO 4,6,grados_20,733.0,
SP7,SERVIDOR PÚBLICO 1,7,grados_20,817.0,
SP8,SERVIDOR PÚBLICO 2,8,grados_20,901.0,
SP9,SERVIDOR PÚBLICO 3,9,grados_20,986.0,
SP10,SERVIDOR PÚBLICO 4,10,grados_20,1086.0,
SP11,SERVIDOR PÚBLICO 5,11,grados_20,1212.0,
SP12,SERVIDOR PÚBLICO 6,12,grados_20,1412.0,
SP13,SERVIDOR PÚBLICO 7,13,grados_20,1676.0,
SP14,SERVIDOR PÚBLICO 8,14,grados_20,1760.0,
SP15,SERVIDOR PÚBLICO 9,15,grados_20,2034.0,
SP16,SERVIDOR PÚBLICO 10,16,grados_20,2308.0,
SP17,SERVIDOR PÚBLICO 11,17,grados_20,2472.0,
SP18,SERVIDOR PÚBLICO 12,18,grados_20,2641.0,
SP19,SERVIDOR PÚBLICO 13,19,grados_20,2967.0,
SP20,SERVIDOR PÚBLICO 14,20,grados_20,3542.0,
NJS1,NIVEL JERÁRQUICO SUPERIOR 1 ,NJS1 ,jerarquico_superior,2226.0,
NJS2,NIVEL JERÁRQUICO SUPERIOR 2 ,NJS2 ,jerarquico_superior,2546.0,
NJS3,NIVEL JERÁRQUICO SUPERIOR 3 ,NJS3 ,jerarquico_superior,2783.0,
NJS4,NIVEL JERÁRQUICO SUPERIOR 4 ,NJS4 ,jerarquico_superior,3339.0,
NJS5,NIVEL JERÁRQUICO SUPERIOR 5 ,NJS5 ,jerarquico_superior,4174.0,
NJS6,NIVEL JERÁRQUICO SUPERIOR 6 ,NJS6 ,jerarquico_superior,5009.0,
NJS7,NIVEL JERÁRQUICO SUPERIOR 7 ,NJS7 ,jerarquico_superior,5566,
NJS8,NIVEL JERÁRQUICO SUPERIOR 8 ,NJS8 ,jerarquico_superior,6122,
