"id","partida","ctap","cta"
"11311","11","621","11311"
"11313","13","623","11313"
"11314","14","624","11314"
"11317","17","625","11317"
"11318","18","626","11318"
"11319","19","625","11319"
"11324","24","624","11324"
"12227","27","122","122"
"11328","28","626","11328"
"11336","36","223","11336"
"11398","38","124","11398"
"21351","51","633","21351"
"21353","53","634","21353"
"21353131","53","131","21353"
"21353125","53","125","21353"
"21356","56","635","21356"
"21356151","56","151","21356"
"21356151","56","152","21356"
"21357","57","635","21357"
"21357125","57","125","21357"
"21358","58","636","21358"
"21371","71","151","21371"
"21371152","71","152","21371"
"21371225","71","225","21371"
"21373","73","151","21373"
"21373152","73","152","21373"
"21373134","73","134","21373"
"21373125","73","125","21373"
"21375","75","151","21375"
"21378","78","151","21378"
"21378152","78","152","21378"
"21378636","78","636","21378"
"21384","84","124","21384"
"21384141","84","141","21384"
"21384142","84","142","21384"
"21384144","84","144","21384"
"21384145","84","145","21384"
"21384151","84","151","21384"
"21384152","84","152","21384"
"21396","96","223","21396"
"21397","97","224","21397"
"213981","97","224","21398"
